Phi[deg],Theta[deg],mag(rERHCP)[mV],ang_deg(rERHCP)[deg]
-180,-180,2276.03,-43.445
-179,-180,2276.03,-42.445
-178,-180,2276.03,-41.445
-177,-180,2276.03,-40.445
-176,-180,2276.03,-39.445
-175,-180,2276.03,-38.445
-174,-180,2276.03,-37.445
-173,-180,2276.03,-36.445
-172,-180,2276.03,-35.445
-171,-180,2276.03,-34.445
-170,-180,2276.03,-33.445
-169,-180,2276.03,-32.445
-168,-180,2276.03,-31.445
-167,-180,2276.03,-30.445
-166,-180,2276.03,-29.445
-165,-180,2276.03,-28.445
-164,-180,2276.03,-27.445
-163,-180,2276.03,-26.445
-162,-180,2276.03,-25.445
-161,-180,2276.03,-24.445
-160,-180,2276.03,-23.445
-159,-180,2276.03,-22.445
-158,-180,2276.03,-21.445
-157,-180,2276.03,-20.445
-156,-180,2276.03,-19.445
-155,-180,2276.03,-18.445
-154,-180,2276.03,-17.445
-153,-180,2276.03,-16.445
-152,-180,2276.03,-15.445
-151,-180,2276.03,-14.445
-150,-180,2276.03,-13.445
-149,-180,2276.03,-12.445
-148,-180,2276.03,-11.445
-147,-180,2276.03,-10.445
-146,-180,2276.03,-9.445
-145,-180,2276.03,-8.445
-144,-180,2276.03,-7.445
-143,-180,2276.03,-6.445
-142,-180,2276.03,-5.445
-141,-180,2276.03,-4.445
-140,-180,2276.03,-3.445
-139,-180,2276.03,-2.445
-138,-180,2276.03,-1.445
-137,-180,2276.03,-0.445002
-136,-180,2276.03,0.554998
-135,-180,2276.03,1.555
-134,-180,2276.03,2.555
-133,-180,2276.03,3.555
-132,-180,2276.03,4.555
-131,-180,2276.03,5.555
-130,-180,2276.03,6.555
-129,-180,2276.03,7.555
-128,-180,2276.03,8.555
-127,-180,2276.03,9.555
-126,-180,2276.03,10.555
-125,-180,2276.03,11.555
-124,-180,2276.03,12.555
-123,-180,2276.03,13.555
-122,-180,2276.03,14.555
-121,-180,2276.03,15.555
-120,-180,2276.03,16.555
-119,-180,2276.03,17.555
-118,-180,2276.03,18.555
-117,-180,2276.03,19.555
-116,-180,2276.03,20.555
-115,-180,2276.03,21.555
-114,-180,2276.03,22.555
-113,-180,2276.03,23.555
-112,-180,2276.03,24.555
-111,-180,2276.03,25.555
-110,-180,2276.03,26.555
-109,-180,2276.03,27.555
-108,-180,2276.03,28.555
-107,-180,2276.03,29.555
-106,-180,2276.03,30.555
-105,-180,2276.03,31.555
-104,-180,2276.03,32.555
-103,-180,2276.03,33.555
-102,-180,2276.03,34.555
-101,-180,2276.03,35.555
-100,-180,2276.03,36.555
-99,-180,2276.03,37.555
-98,-180,2276.03,38.555
-97,-180,2276.03,39.555
-96,-180,2276.03,40.555
-95,-180,2276.03,41.555
-94,-180,2276.03,42.555
-93,-180,2276.03,43.555
-92,-180,2276.03,44.555
-91,-180,2276.03,45.555
-90,-180,2276.03,46.555
-89,-180,2276.03,47.555
-88,-180,2276.03,48.555
-87,-180,2276.03,49.555
-86,-180,2276.03,50.555
-85,-180,2276.03,51.555
-84,-180,2276.03,52.555
-83,-180,2276.03,53.555
-82,-180,2276.03,54.555
-81,-180,2276.03,55.555
-80,-180,2276.03,56.555
-79,-180,2276.03,57.555
-78,-180,2276.03,58.555
-77,-180,2276.03,59.555
-76,-180,2276.03,60.555
-75,-180,2276.03,61.555
-74,-180,2276.03,62.555
-73,-180,2276.03,63.555
-72,-180,2276.03,64.555
-71,-180,2276.03,65.555
-70,-180,2276.03,66.555
-69,-180,2276.03,67.555
-68,-180,2276.03,68.555
-67,-180,2276.03,69.555
-66,-180,2276.03,70.555
-65,-180,2276.03,71.555
-64,-180,2276.03,72.555
-63,-180,2276.03,73.555
-62,-180,2276.03,74.555
-61,-180,2276.03,75.555
-60,-180,2276.03,76.555
-59,-180,2276.03,77.555
-58,-180,2276.03,78.555
-57,-180,2276.03,79.555
-56,-180,2276.03,80.555
-55,-180,2276.03,81.555
-54,-180,2276.03,82.555
-53,-180,2276.03,83.555
-52,-180,2276.03,84.555
-51,-180,2276.03,85.555
-50,-180,2276.03,86.555
-49,-180,2276.03,87.555
-48,-180,2276.03,88.555
-47,-180,2276.03,89.555
-46,-180,2276.03,90.555
-45,-180,2276.03,91.555
-44,-180,2276.03,92.555
-43,-180,2276.03,93.555
-42,-180,2276.03,94.555
-41,-180,2276.03,95.555
-40,-180,2276.03,96.555
-39,-180,2276.03,97.555
-38,-180,2276.03,98.555
-37,-180,2276.03,99.555
-36,-180,2276.03,100.555
-35,-180,2276.03,101.555
-34,-180,2276.03,102.555
-33,-180,2276.03,103.555
-32,-180,2276.03,104.555
-31,-180,2276.03,105.555
-30,-180,2276.03,106.555
-29,-180,2276.03,107.555
-28,-180,2276.03,108.555
-27,-180,2276.03,109.555
-26,-180,2276.03,110.555
-25,-180,2276.03,111.555
-24,-180,2276.03,112.555
-23,-180,2276.03,113.555
-22,-180,2276.03,114.555
-21,-180,2276.03,115.555
-20,-180,2276.03,116.555
-19,-180,2276.03,117.555
-18,-180,2276.03,118.555
-17,-180,2276.03,119.555
-16,-180,2276.03,120.555
-15,-180,2276.03,121.555
-14,-180,2276.03,122.555
-13,-180,2276.03,123.555
-12,-180,2276.03,124.555
-11,-180,2276.03,125.555
-10,-180,2276.03,126.555
-9,-180,2276.03,127.555
-8,-180,2276.03,128.555
-7,-180,2276.03,129.555
-6,-180,2276.03,130.555
-5,-180,2276.03,131.555
-4,-180,2276.03,132.555
-3,-180,2276.03,133.555
-2,-180,2276.03,134.555
-1,-180,2276.03,135.555
0,-180,2276.03,136.555
1,-180,2276.03,137.555
2,-180,2276.03,138.555
3,-180,2276.03,139.555
4,-180,2276.03,140.555
5,-180,2276.03,141.555
6,-180,2276.03,142.555
7,-180,2276.03,143.555
8,-180,2276.03,144.555
9,-180,2276.03,145.555
10,-180,2276.03,146.555
11,-180,2276.03,147.555
12,-180,2276.03,148.555
13,-180,2276.03,149.555
14,-180,2276.03,150.555
15,-180,2276.03,151.555
16,-180,2276.03,152.555
17,-180,2276.03,153.555
18,-180,2276.03,154.555
19,-180,2276.03,155.555
20,-180,2276.03,156.555
21,-180,2276.03,157.555
22,-180,2276.03,158.555
23,-180,2276.03,159.555
24,-180,2276.03,160.555
25,-180,2276.03,161.555
26,-180,2276.03,162.555
27,-180,2276.03,163.555
28,-180,2276.03,164.555
29,-180,2276.03,165.555
30,-180,2276.03,166.555
31,-180,2276.03,167.555
32,-180,2276.03,168.555
33,-180,2276.03,169.555
34,-180,2276.03,170.555
35,-180,2276.03,171.555
36,-180,2276.03,172.555
37,-180,2276.03,173.555
38,-180,2276.03,174.555
39,-180,2276.03,175.555
40,-180,2276.03,176.555
41,-180,2276.03,177.555
42,-180,2276.03,178.555
43,-180,2276.03,179.555
44,-180,2276.03,-179.445
45,-180,2276.03,-178.445
46,-180,2276.03,-177.445
47,-180,2276.03,-176.445
48,-180,2276.03,-175.445
49,-180,2276.03,-174.445
50,-180,2276.03,-173.445
51,-180,2276.03,-172.445
52,-180,2276.03,-171.445
53,-180,2276.03,-170.445
54,-180,2276.03,-169.445
55,-180,2276.03,-168.445
56,-180,2276.03,-167.445
57,-180,2276.03,-166.445
58,-180,2276.03,-165.445
59,-180,2276.03,-164.445
60,-180,2276.03,-163.445
61,-180,2276.03,-162.445
62,-180,2276.03,-161.445
63,-180,2276.03,-160.445
64,-180,2276.03,-159.445
65,-180,2276.03,-158.445
66,-180,2276.03,-157.445
67,-180,2276.03,-156.445
68,-180,2276.03,-155.445
69,-180,2276.03,-154.445
70,-180,2276.03,-153.445
71,-180,2276.03,-152.445
72,-180,2276.03,-151.445
73,-180,2276.03,-150.445
74,-180,2276.03,-149.445
75,-180,2276.03,-148.445
