Phi[deg],Theta[deg],mag(rERHCP)[mV],ang_deg(rERHCP)[deg]
-180,-180,1375.46,66.4463
-179,-180,1375.46,67.4463
-178,-180,1375.46,68.4463
-177,-180,1375.46,69.4463
-176,-180,1375.46,70.4463
-175,-180,1375.46,71.4463
-174,-180,1375.46,72.4463
-173,-180,1375.46,73.4463
-172,-180,1375.46,74.4463
-171,-180,1375.46,75.4463
-170,-180,1375.46,76.4463
-169,-180,1375.46,77.4463
-168,-180,1375.46,78.4463
-167,-180,1375.46,79.4463
-166,-180,1375.46,80.4463
-165,-180,1375.46,81.4463
-164,-180,1375.46,82.4463
-163,-180,1375.46,83.4463
-162,-180,1375.46,84.4463
-161,-180,1375.46,85.4463
-160,-180,1375.46,86.4463
-159,-180,1375.46,87.4463
-158,-180,1375.46,88.4463
-157,-180,1375.46,89.4463
-156,-180,1375.46,90.4463
-155,-180,1375.46,91.4463
-154,-180,1375.46,92.4463
-153,-180,1375.46,93.4463
-152,-180,1375.46,94.4463
-151,-180,1375.46,95.4463
-150,-180,1375.46,96.4463
-149,-180,1375.46,97.4463
-148,-180,1375.46,98.4463
-147,-180,1375.46,99.4463
-146,-180,1375.46,100.446
-145,-180,1375.46,101.446
-144,-180,1375.46,102.446
-143,-180,1375.46,103.446
-142,-180,1375.46,104.446
-141,-180,1375.46,105.446
-140,-180,1375.46,106.446
-139,-180,1375.46,107.446
-138,-180,1375.46,108.446
-137,-180,1375.46,109.446
-136,-180,1375.46,110.446
-135,-180,1375.46,111.446
-134,-180,1375.46,112.446
-133,-180,1375.46,113.446
-132,-180,1375.46,114.446
-131,-180,1375.46,115.446
-130,-180,1375.46,116.446
-129,-180,1375.46,117.446
-128,-180,1375.46,118.446
-127,-180,1375.46,119.446
-126,-180,1375.46,120.446
-125,-180,1375.46,121.446
-124,-180,1375.46,122.446
-123,-180,1375.46,123.446
-122,-180,1375.46,124.446
-121,-180,1375.46,125.446
-120,-180,1375.46,126.446
-119,-180,1375.46,127.446
-118,-180,1375.46,128.446
-117,-180,1375.46,129.446
-116,-180,1375.46,130.446
-115,-180,1375.46,131.446
-114,-180,1375.46,132.446
-113,-180,1375.46,133.446
-112,-180,1375.46,134.446
-111,-180,1375.46,135.446
-110,-180,1375.46,136.446
-109,-180,1375.46,137.446
-108,-180,1375.46,138.446
-107,-180,1375.46,139.446
-106,-180,1375.46,140.446
-105,-180,1375.46,141.446
-104,-180,1375.46,142.446
-103,-180,1375.46,143.446
-102,-180,1375.46,144.446
-101,-180,1375.46,145.446
-100,-180,1375.46,146.446
-99,-180,1375.46,147.446
-98,-180,1375.46,148.446
-97,-180,1375.46,149.446
-96,-180,1375.46,150.446
-95,-180,1375.46,151.446
-94,-180,1375.46,152.446
-93,-180,1375.46,153.446
-92,-180,1375.46,154.446
-91,-180,1375.46,155.446
-90,-180,1375.46,156.446
-89,-180,1375.46,157.446
-88,-180,1375.46,158.446
-87,-180,1375.46,159.446
-86,-180,1375.46,160.446
-85,-180,1375.46,161.446
-84,-180,1375.46,162.446
-83,-180,1375.46,163.446
-82,-180,1375.46,164.446
-81,-180,1375.46,165.446
-80,-180,1375.46,166.446
-79,-180,1375.46,167.446
-78,-180,1375.46,168.446
-77,-180,1375.46,169.446
-76,-180,1375.46,170.446
-75,-180,1375.46,171.446
-74,-180,1375.46,172.446
-73,-180,1375.46,173.446
-72,-180,1375.46,174.446
-71,-180,1375.46,175.446
-70,-180,1375.46,176.446
-69,-180,1375.46,177.446
-68,-180,1375.46,178.446
-67,-180,1375.46,179.446
-66,-180,1375.46,-179.554
-65,-180,1375.46,-178.554
-64,-180,1375.46,-177.554
-63,-180,1375.46,-176.554
-62,-180,1375.46,-175.554
-61,-180,1375.46,-174.554
-60,-180,1375.46,-173.554
-59,-180,1375.46,-172.554
-58,-180,1375.46,-171.554
-57,-180,1375.46,-170.554
-56,-180,1375.46,-169.554
-55,-180,1375.46,-168.554
-54,-180,1375.46,-167.554
-53,-180,1375.46,-166.554
-52,-180,1375.46,-165.554
-51,-180,1375.46,-164.554
-50,-180,1375.46,-163.554
-49,-180,1375.46,-162.554
-48,-180,1375.46,-161.554
-47,-180,1375.46,-160.554
-46,-180,1375.46,-159.554
-45,-180,1375.46,-158.554
-44,-180,1375.46,-157.554
-43,-180,1375.46,-156.554
-42,-180,1375.46,-155.554
-41,-180,1375.46,-154.554
-40,-180,1375.46,-153.554
-39,-180,1375.46,-152.554
-38,-180,1375.46,-151.554
-37,-180,1375.46,-150.554
-36,-180,1375.46,-149.554
-35,-180,1375.46,-148.554
-34,-180,1375.46,-147.554
-33,-180,1375.46,-146.554
-32,-180,1375.46,-145.554
-31,-180,1375.46,-144.554
-30,-180,1375.46,-143.554
-29,-180,1375.46,-142.554
-28,-180,1375.46,-141.554
-27,-180,1375.46,-140.554
-26,-180,1375.46,-139.554
-25,-180,1375.46,-138.554
-24,-180,1375.46,-137.554
-23,-180,1375.46,-136.554
-22,-180,1375.46,-135.554
-21,-180,1375.46,-134.554
-20,-180,1375.46,-133.554
-19,-180,1375.46,-132.554
-18,-180,1375.46,-131.554
-17,-180,1375.46,-130.554
-16,-180,1375.46,-129.554
-15,-180,1375.46,-128.554
-14,-180,1375.46,-127.554
-13,-180,1375.46,-126.554
-12,-180,1375.46,-125.554
-11,-180,1375.46,-124.554
-10,-180,1375.46,-123.554
-9,-180,1375.46,-122.554
-8,-180,1375.46,-121.554
-7,-180,1375.46,-120.554
-6,-180,1375.46,-119.554
-5,-180,1375.46,-118.554
-4,-180,1375.46,-117.554
-3,-180,1375.46,-116.554
-2,-180,1375.46,-115.554
-1,-180,1375.46,-114.554
0,-180,1375.46,-113.554
1,-180,1375.46,-112.554
2,-180,1375.46,-111.554
3,-180,1375.46,-110.554
4,-180,1375.46,-109.554
5,-180,1375.46,-108.554
6,-180,1375.46,-107.554
7,-180,1375.46,-106.554
8,-180,1375.46,-105.554
9,-180,1375.46,-104.554
10,-180,1375.46,-103.554
11,-180,1375.46,-102.554
12,-180,1375.46,-101.554
13,-180,1375.46,-100.554
14,-180,1375.46,-99.5537
15,-180,1375.46,-98.5537
16,-180,1375.46,-97.5537
17,-180,1375.46,-96.5537
18,-180,1375.46,-95.5537
19,-180,1375.46,-94.5537
20,-180,1375.46,-93.5537
21,-180,1375.46,-92.5537
22,-180,1375.46,-91.5537
23,-180,1375.46,-90.5537
24,-180,1375.46,-89.5537
25,-180,1375.46,-88.5537
26,-180,1375.46,-87.5537
27,-180,1375.46,-86.5537
28,-180,1375.46,-85.5537
29,-180,1375.46,-84.5537
30,-180,1375.46,-83.5537
31,-180,1375.46,-82.5537
32,-180,1375.46,-81.5537
33,-180,1375.46,-80.5537
34,-180,1375.46,-79.5537
35,-180,1375.46,-78.5537
36,-180,1375.46,-77.5537
37,-180,1375.46,-76.5537
38,-180,1375.46,-75.5537
39,-180,1375.46,-74.5537
40,-180,1375.46,-73.5537
41,-180,1375.46,-72.5537
42,-180,1375.46,-71.5537
43,-180,1375.46,-70.5537
44,-180,1375.46,-69.5537
45,-180,1375.46,-68.5537
46,-180,1375.46,-67.5537
47,-180,1375.46,-66.5537
48,-180,1375.46,-65.5537
49,-180,1375.46,-64.5537
50,-180,1375.46,-63.5537
51,-180,1375.46,-62.5537
52,-180,1375.46,-61.5537
53,-180,1375.46,-60.5537
54,-180,1375.46,-59.5537
55,-180,1375.46,-58.5537
56,-180,1375.46,-57.5537
