Phi[deg],Theta[deg],mag(rERHCP)[mV],ang_deg(rERHCP)[deg]
-180,-180,1035.13,-41.8145
-179,-180,1035.13,-40.8145
-178,-180,1035.13,-39.8145
-177,-180,1035.13,-38.8145
-176,-180,1035.13,-37.8145
-175,-180,1035.13,-36.8145
-174,-180,1035.13,-35.8145
-173,-180,1035.13,-34.8145
-172,-180,1035.13,-33.8145
-171,-180,1035.13,-32.8145
-170,-180,1035.13,-31.8145
-169,-180,1035.13,-30.8145
-168,-180,1035.13,-29.8145
-167,-180,1035.13,-28.8145
-166,-180,1035.13,-27.8145
-165,-180,1035.13,-26.8145
-164,-180,1035.13,-25.8145
-163,-180,1035.13,-24.8145
-162,-180,1035.13,-23.8145
-161,-180,1035.13,-22.8145
-160,-180,1035.13,-21.8145
-159,-180,1035.13,-20.8145
-158,-180,1035.13,-19.8145
-157,-180,1035.13,-18.8145
-156,-180,1035.13,-17.8145
-155,-180,1035.13,-16.8145
-154,-180,1035.13,-15.8145
-153,-180,1035.13,-14.8145
-152,-180,1035.13,-13.8145
-151,-180,1035.13,-12.8145
-150,-180,1035.13,-11.8145
-149,-180,1035.13,-10.8145
-148,-180,1035.13,-9.8145
-147,-180,1035.13,-8.8145
-146,-180,1035.13,-7.8145
-145,-180,1035.13,-6.8145
-144,-180,1035.13,-5.8145
-143,-180,1035.13,-4.8145
-142,-180,1035.13,-3.8145
-141,-180,1035.13,-2.8145
-140,-180,1035.13,-1.8145
-139,-180,1035.13,-0.814498
-138,-180,1035.13,0.185502
-137,-180,1035.13,1.1855
-136,-180,1035.13,2.1855
-135,-180,1035.13,3.1855
-134,-180,1035.13,4.1855
-133,-180,1035.13,5.1855
-132,-180,1035.13,6.1855
-131,-180,1035.13,7.1855
-130,-180,1035.13,8.1855
-129,-180,1035.13,9.1855
-128,-180,1035.13,10.1855
-127,-180,1035.13,11.1855
-126,-180,1035.13,12.1855
-125,-180,1035.13,13.1855
-124,-180,1035.13,14.1855
-123,-180,1035.13,15.1855
-122,-180,1035.13,16.1855
-121,-180,1035.13,17.1855
-120,-180,1035.13,18.1855
-119,-180,1035.13,19.1855
-118,-180,1035.13,20.1855
-117,-180,1035.13,21.1855
-116,-180,1035.13,22.1855
-115,-180,1035.13,23.1855
-114,-180,1035.13,24.1855
-113,-180,1035.13,25.1855
-112,-180,1035.13,26.1855
-111,-180,1035.13,27.1855
-110,-180,1035.13,28.1855
-109,-180,1035.13,29.1855
-108,-180,1035.13,30.1855
-107,-180,1035.13,31.1855
-106,-180,1035.13,32.1855
-105,-180,1035.13,33.1855
-104,-180,1035.13,34.1855
-103,-180,1035.13,35.1855
-102,-180,1035.13,36.1855
-101,-180,1035.13,37.1855
-100,-180,1035.13,38.1855
-99,-180,1035.13,39.1855
-98,-180,1035.13,40.1855
